9355: Flags [P.], seq 15041528:15041876, ack 8929, win 501, length 348
20:22:31.495771 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15627348:15627552, ack 9253, win 501, length 204
20:22:31.495828 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15627552:15627756, ack 9253, win 501, length 204
20:22:31.495887 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15627756:15627960, ack 9253, win 501, length 204
20:22:31.495942 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15627960:15628164, ack 9253, win 501, length 204
20:22:31.495997 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15628164:15628368, ack 9253, win 501, length 204
20:22:31.496062 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15628368:15628572, ack 9253, win 501, length 204
20:22:31.496119 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15628572:15628776, ack 9253, win 501, length 204
20:22:31.496180 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15628776:15628980, ack 9253, win 501, length 204
20:22:31.496241 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15628980:15629184, ack 9253, win 501, length 204
20:22:31.496309 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15629184:15629388, ack 9253, win 501, length 204
20:22:31.496366 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15629388:15629592, ack 9253, win 501, length 204
20:22:31.496423 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15629592:15629796, ack 9253, win 501, length 204
20:22:31.496477 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15629796:15630000, ack 9253, win 501, length 204
20:22:31.496533 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15630000:15630204, ack 9253, win 501, length 204
20:22:31.496589 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15630204:15630408, ack 9253, win 501, length 204
20:22:31.496647 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15630408:15630612, ack 9253, win 501, length 204
20:22:31.496703 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15630612:15630816, ack 9253, win 501, length 204
20:22:31.496757 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15630816:15631020, ack 9253, win 501, length 204
20:22:31.496812 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15631020:15631224, ack 9253, win 501, length 204
20:22:31.496870 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15631224:15631428, ack 9253, win 501, length 204
20:22:31.496928 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15631428:15631632, ack 9253, win 501, length 204
20:22:31.496988 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15631632:15631836, ack 9253, win 501, length 204
20:22:31.497043 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15631836:15632040, ack 9253, win 501, length 204
20:22:31.497102 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15632040:15632244, ack 9253, win 501, length 204
20:22:31.497157 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15632244:15632448, ack 9253, win 501, length 204
20:22:31.497211 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15632448:15632652, ack 9253, win 501, length 204
20:22:31.497286 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15632652:15632856, ack 9253, win 501, length 204
20:22:31.497429 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15632856:15633060, ack 9253, win 501, length 204
20:22:31.497491 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15633060:15633264, ack 9253, win 501, length 204
20:22:31.497549 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15633264:15633468, ack 9253, win 501, length 204
20:22:31.497605 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15633468:15633672, ack 9253, win 501, length 204
20:22:31.497663 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15633672:15633876, ack 9253, win 501, length 204
20:22:31.497722 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15633876:15634080, ack 9253, win 501, length 204
20:22:31.497777 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15634080:15634284, ack 9253, win 501, length 204
20:22:31.497832 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15634284:15634488, ack 9253, win 501, length 204
20:22:31.497891 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15634488:15634692, ack 9253, win 501, length 204
20:22:31.497946 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15634692:15634896, ack 9253, win 501, length 204
20:22:31.498008 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15634896:15635100, ack 9253, win 501, length 204
20:22:31.498065 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15635100:15635304, ack 9253, win 501, length 204
20:22:31.498149 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15635304:15635508, ack 9253, win 501, length 204
20:22:31.498207 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15635508:15635712, ack 9253, win 501, length 204
20:22:31.498263 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15635712:15635916, ack 9253, win 501, length 204
20:22:31.498338 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15635916:15636120, ack 9253, win 501, length 204
20:22:31.498433 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15636120:15636324, ack 9253, win 501, length 204
20:22:31.498496 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15636324:15636528, ack 9253, win 501, length 204
20:22:31.498559 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15636528:15636732, ack 9253, win 501, length 204
20:22:31.498616 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15636732:15636936, ack 9253, win 501, length 204
20:22:31.498670 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15636936:15637140, ack 9253, win 501, length 204
20:22:31.498745 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15637140:15637344, ack 9253, win 501, length 204
20:22:31.498802 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15637344:15637548, ack 9253, win 501, length 204
20:22:31.498856 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15637548:15637752, ack 9253, win 501, length 204
20:22:31.498891 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15601784, win 516, length 0
20:22:31.498969 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15637752:15638100, ack 9253, win 501, length 348
20:22:31.499032 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15638100:15638304, ack 9253, win 501, length 204
20:22:31.499092 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15638304:15638508, ack 9253, win 501, length 204
20:22:31.499149 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15638508:15638712, ack 9253, win 501, length 204
20:22:31.499206 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15638712:15638916, ack 9253, win 501, length 204
20:22:31.499258 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15604732, win 516, length 0
20:22:31.499258 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15606916, win 516, length 0
20:22:31.499258 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15608140, win 511, length 0
20:22:31.499258 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15611028, win 516, length 0
20:22:31.499362 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15638916:15639704, ack 9253, win 501, length 788
20:22:31.499416 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15612660, win 516, length 0
20:22:31.499416 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [P.], seq 9253:9289, ack 15612660, win 516, length 36
20:22:31.499416 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15613884, win 511, length 0
20:22:31.499416 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15617352, win 516, length 0
20:22:31.499505 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15618372, win 512, length 0
20:22:31.499505 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15620412, win 516, length 0
20:22:31.499505 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15625920, win 516, length 0
20:22:31.499505 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15629184, win 516, length 0
20:22:31.499567 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15639704:15640508, ack 9289, win 501, length 804
20:22:31.499627 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15631428, win 516, length 0
20:22:31.499691 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15640508:15641440, ack 9289, win 501, length 932
20:22:31.499752 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15641440:15641644, ack 9289, win 501, length 204
20:22:31.499811 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15641644:15641848, ack 9289, win 501, length 204
20:22:31.499870 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15641848:15642052, ack 9289, win 501, length 204
20:22:31.499927 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15642052:15642256, ack 9289, win 501, length 204
20:22:31.499996 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15642256:15642460, ack 9289, win 501, length 204
20:22:31.500057 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15642460:15642664, ack 9289, win 501, length 204
20:22:31.500117 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15642664:15642868, ack 9289, win 501, length 204
20:22:31.500172 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15642868:15643072, ack 9289, win 501, length 204
20:22:31.500230 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15643072:15643276, ack 9289, win 501, length 204
20:22:31.500286 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15643276:15643480, ack 9289, win 501, length 204
20:22:31.500344 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15643480:15643684, ack 9289, win 501, length 204
20:22:31.500380 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15632652, win 511, length 0
20:22:31.500380 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15634488, win 516, length 0
20:22:31.500439 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15643684:15644184, ack 9289, win 501, length 500
20:22:31.500498 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15644184:15644388, ack 9289, win 501, length 204
20:22:31.500555 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15644388:15644592, ack 9289, win 501, length 204
20:22:31.500610 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15644592:15644796, ack 9289, win 501, length 204
20:22:31.500665 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15644796:15645000, ack 9289, win 501, length 204
20:22:31.500724 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15645000:15645204, ack 9289, win 501, length 204
20:22:31.500783 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15645204:15645408, ack 9289, win 501, length 204
20:22:31.500842 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15645408:15645612, ack 9289, win 501, length 204
20:22:31.500896 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15645612:15645816, ack 9289, win 501, length 204
20:22:31.500951 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15645816:15646020, ack 9289, win 501, length 204
20:22:31.501008 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15646020:15646224, ack 9289, win 501, length 204
20:22:31.501062 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15646224:15646428, ack 9289, win 501, length 204
20:22:31.501116 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15646428:15646632, ack 9289, win 501, length 204
20:22:31.501172 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15646632:15646836, ack 9289, win 501, length 204
20:22:31.501229 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15646836:15647040, ack 9289, win 501, length 204
20:22:31.501276 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15634896, win 514, length 0
20:22:31.501276 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15636732, win 516, length 0
20:22:31.501333 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15647040:15647540, ack 9289, win 501, length 500
20:22:31.501394 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15647540:15647744, ack 9289, win 501, length 204
20:22:31.501453 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15647744:15647948, ack 9289, win 501, length 204
20:22:31.501508 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15647948:15648152, ack 9289, win 501, length 204
20:22:31.501566 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15648152:15648356, ack 9289, win 501, length 204
20:22:31.501629 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15648356:15648560, ack 9289, win 501, length 204
20:22:31.501704 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15648560:15648764, ack 9289, win 501, length 204
20:22:31.501786 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15648764:15648968, ack 9289, win 501, length 204
20:22:31.501846 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15648968:15649172, ack 9289, win 501, length 204
20:22:31.501916 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15649172:15649376, ack 9289, win 501, length 204
20:22:31.501996 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15638916, win 516, length 0
20:22:31.502062 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15649376:15649580, ack 9289, win 501, length 204
20:22:31.502108 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15649580:15649760, ack 9289, win 501, length 180
20:22:31.502201 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15649760:15650132, ack 9289, win 501, length 372
20:22:31.502261 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15650132:15650336, ack 9289, win 501, length 204
20:22:31.502318 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15650336:15650540, ack 9289, win 501, length 204
20:22:31.502375 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15650540:15650744, ack 9289, win 501, length 204
20:22:31.502432 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15650744:15650948, ack 9289, win 501, length 204
20:22:31.502488 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15650948:15651152, ack 9289, win 501, length 204
20:22:31.502543 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15651152:15651356, ack 9289, win 501, length 204
20:22:31.502598 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15651356:15651560, ack 9289, win 501, length 204
20:22:31.502652 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15651560:15651764, ack 9289, win 501, length 204
20:22:31.502736 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15651764:15651968, ack 9289, win 501, length 204
20:22:31.502751 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15642052, win 516, length 0
20:22:31.502819 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15651968:15652316, ack 9289, win 501, length 348
20:22:31.502876 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15652316:15652520, ack 9289, win 501, length 204
20:22:31.502931 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15652520:15652724, ack 9289, win 501, length 204
20:22:31.502985 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15652724:15652928, ack 9289, win 501, length 204
20:22:31.503041 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15652928:15653132, ack 9289, win 501, length 204
20:22:31.503098 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15653132:15653336, ack 9289, win 501, length 204
20:22:31.503152 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15653336:15653540, ack 9289, win 501, length 204
20:22:31.503207 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15653540:15653744, ack 9289, win 501, length 204
20:22:31.503278 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15653744:15653948, ack 9289, win 501, length 204
20:22:31.503335 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15653948:15654152, ack 9289, win 501, length 204
20:22:31.503423 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15654152:15654356, ack 9289, win 501, length 204
20:22:31.503488 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15654356:15654560, ack 9289, win 501, length 204
20:22:31.503507 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15645612, win 516, length 0
20:22:31.503612 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15654560:15654908, ack 9289, win 501, length 348
20:22:31.503690 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15654908:15655112, ack 9289, win 501, length 204
20:22:31.503772 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15655112:15655316, ack 9289, win 501, length 204
20:22:31.503835 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15655316:15655520, ack 9289, win 501, length 204
20:22:31.503895 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15655520:15655724, ack 9289, win 501, length 204
20:22:31.503949 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15655724:15655928, ack 9289, win 501, length 204
20:22:31.504006 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15655928:15656132, ack 9289, win 501, length 204
20:22:31.504060 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15656132:15656336, ack 9289, win 501, length 204
20:22:31.504118 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15648152, win 516, length 0
20:22:31.504148 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15656336:15656540, ack 9289, win 501, length 204
